ID,Nombre,Equipo,Puntaje,cantidadCompetencias
535,Luis2 Toro, Universidad de Chile, 91.50, 3539
23165,Galileo Plaza, Everton, 23.59, 293
18915,Victor Loyola, Huachipato, 72.02, 2412
27184,Borja Cabello, Colo-Colo, 2.29, 857
25241,Matias2 Huenupi, Everton, 76.56, 3880
18502,Justino2 Ureta, Universidad de Chile, 89.14, 4207
684,Renato Vargas, Palestino, 80.74, 4042
1037,Yandel Garrido, La Serena, 64.01, 1213
4699,Sanson Cornejo, La Serena, 21.21, 4132
13919,Olegario Valdivia, Colo-Colo, 22.55, 1330
26749,Onofre Huerta, Universidad de Chile, 78.52, 1761
18068,Tristan Messina, Huachipato, 28.82, 3051
15822,Cosme Mosso, Colo-Colo, 98.49, 953
16156,Freddy Aguilar, La Serena, 45.53, 4100
12622,Ricardo Salgado, Everton, 76.22, 1222
2384,Alejandro Valdes, Colo-Colo, 7.41, 2489
27642,Aureliano Correa, Universidad de Chile, 68.74, 1147
1898,Indalecio Opazo, Huachipato, 9.58, 1352
16256,Freddy Rodriguez, Palestino, 51.36, 2528
2917,Kadir Krebs, Huachipato, 42.28, 381
3013,Marcelo2 Cornejo, Huachipato, 33.23, 2099
22604,Jaime Duran2, Universidad de Chile, 49.30, 4737
12833,Jesus Cortinez, Colo-Colo, 44.18, 4143
6360,Hector Luna, Universidad de Chile, 65.35, 4262
14835,Ivan2 Santibanez, Huachipato, 72.78, 4071
3484,Dario2 Rozas, Universidad de Chile, 16.49, 3449
18924,Eduardo Moreno, Huachipato, 50.28, 1321
13787,Bruno Celis, Huachipato, 16.63, 2745
9504,Recaredo Mogollon, Palestino, 96.08, 1245
23818,Dario Mladinic, Everton, 16.02, 489
13556,Conrado Altamirano, Universidad de Chile, 98.12, 3686
24725,Marcos Cariman, Universidad de Chile, 54.47, 1815
16287,Pablo2 Andrade, Colo-Colo, 36.17, 778
27042,Bruno Herrera, Everton, 18.37, 3766
20721,Samir Leiton, Huachipato, 13.50, 4829
7742,Josue Aguilar, Everton, 7.53, 408
6671,Geronimo2 Montt, Huachipato, 25.41, 680
4057,Freddy Cerda, La Serena, 72.17, 1893
8825,Delfin Maiz, Palestino, 85.95, 1171
8809,Favio Gatica, Everton, 29.23, 161
9395,Bernardo Sanchez, Huachipato, 78.38, 2721
23161,Noe Montes, Huachipato, 84.79, 549
11147,Victoriano Orellana, Huachipato, 63.41, 3456
2657,Quico Mora, Everton, 0.74, 2766
4586,Casandro Lorca, Huachipato, 88.32, 4506
215,Feliciano2 Ferrada, La Serena, 34.63, 4580
16971,Elio Berrios, La Serena, 63.44, 2648
13921,Elio Lobos2, Colo-Colo, 18.12, 954
15016,Alejandro Maturana, Everton, 13.43, 4378
2745,Lucas2 Curilef, Everton, 6.66, 1931
26707,Borja Barahona, La Serena, 46.65, 3776
1488,Carlos Lermanda, Everton, 38.15, 1845
10920,Noe Maureira, Everton, 15.38, 3772
7546,Leoncio Villalobos, Huachipato, 34.82, 1175
19323,Jordy Sepulveda, Universidad de Chile, 61.27, 1428
3266,Mariano Cabrera, Huachipato, 17.23, 4890
15750,Amaro Henriquez, Everton, 30.41, 2931
11088,Aitor Massone, Colo-Colo, 57.80, 283
12148,Trifon Tejos, La Serena, 53.47, 542
12256,Vidal Villalobos, Everton, 25.57, 240
7420,Jacobo Morand, Huachipato, 24.86, 1388
13566,Calixto Huincaman, Everton, 56.12, 2868
5584,Modesto Mujica, Everton, 98.88, 3001
8981,Rancel Larrain, Colo-Colo, 18.31, 4373
24710,Leonardo2 Leonelli, La Serena, 35.86, 1681
19839,Mateo2 Moris, Everton, 37.24, 4042
7102,Marcelo2 Opazo, Everton, 31.59, 547
846,Cristobal Huilinao, Colo-Colo, 77.74, 517
10843,Diego Menchaca, Huachipato, 7.72, 3140
9499,Ventura Pedreros, La Serena, 28.40, 3462
21197,Dario2 Soto, La Serena, 18.09, 925
10809,Gisela Carrillo, Everton, 76.61, 4881
12742,Alvaro Cordova, Palestino, 45.94, 4440
6608,Jairo2 Tapia, Palestino, 86.12, 1107
7429,Quico Cartes, Everton, 75.22, 4509
507,Emiliano Lamas, Huachipato, 90.22, 1302
11157,Santiago Espinosa, Colo-Colo, 30.71, 3575
20907,Eriberto Castro, Palestino, 77.84, 3677
20601,Elmer Montes, Everton, 23.73, 1687
25292,Isaias Mayorga, Universidad de Chile, 23.44, 1843
13870,Conrado Gomez, La Serena, 16.29, 1835
23646,Jean Moya2, Huachipato, 26.39, 3404
12644,Jairo2 Carmona, Colo-Colo, 77.73, 1384
27305,Alvaro Toro, Everton, 17.71, 3182
23795,Amir Huilical, Universidad de Chile, 76.10, 3321
4385,Noe Poblete, Palestino, 77.88, 2795
13438,Connor Moris, Universidad de Chile, 11.71, 1678
1381,Erasmo Rios, Everton, 46.00, 4803
17165,Leon Avendano, Universidad de Chile, 93.94, 2479
5505,Isael Mazzoni, Huachipato, 7.08, 3453
2561,Adrian Salazar, Colo-Colo, 86.89, 4375
932,Sotero Arevalo, Huachipato, 65.02, 1463
9895,Casiano Toledo, Universidad de Chile, 38.16, 4856
10653,Laura Castillo, La Serena, 49.36, 4846
4821,Emerico DelFierro, Everton, 80.90, 2058
20707,o Lemarie, Huachipato, 97.81, 1728
11063,Leonardo2 Cisternas, Palestino, 36.77, 2057
17607,Delfin Droguett, La Serena, 1.23, 2056
9096,Lautaro Bastias, Everton, 63.75, 2598
820,Ildefonso Leal, Universidad de Chile, 17.24, 3496
5409,Ventura Elgueta, Huachipato, 96.95, 2703
6030,Geronimo2 Acevedo, Huachipato, 6.62, 1468
908,Ernesto Moyano, La Serena, 35.68, 2261
18445,Octavio Zuniga, Everton, 97.24, 3333
17724,Abel Vega, Palestino, 12.32, 2092
